Partido candidato de la coalición,U Distrito,Estado,Cabecera.Distrital,Media,DesvEst,Menor,Mayor,PROBABILIDAD DE GANAR
RSP,E19D8,NUEVO LEÓN,GUADALUPE,1.46%,0.0171,0.00%,4.81%,0.00%
ES,E19D9,NUEVO LEÓN,LINARES,1.80%,0.0506,0.00%,11.71%,0.00%
MC,E19D9,NUEVO LEÓN,LINARES,5.17%,0.0289,0.00%,10.84%,0.00%
MORENA,E19D9,NUEVO LEÓN,LINARES,17.08%,0.0139,14.79%,19.81%,0.00%
PAN,E19D9,NUEVO LEÓN,LINARES,25.11%,0.0147,22.69%,27.99%,67.58%
PRD,E19D9,NUEVO LEÓN,LINARES,0.69%,0.0244,0.00%,5.47%,0.00%
PRI,E19D9,NUEVO LEÓN,LINARES,25.90%,0.1113,7.60%,47.72%,24.71%
PT,E19D9,NUEVO LEÓN,LINARES,4.66%,0.0049,3.85%,5.62%,0.00%
PVEM,E19D9,NUEVO LEÓN,LINARES,14.93%,0.1141,0.00%,37.30%,7.71%
RSP,E19D9,NUEVO LEÓN,LINARES,4.35%,0.0254,0.00%,9.32%,0.00%
ES,E20D1,OAXACA,SAN JUAN BAUTISTA TUXTEPEC,1.70%,0.0469,0.00%,10.89%,0.00%
MC,E20D1,OAXACA,SAN JUAN BAUTISTA TUXTEPEC,4.95%,0.0095,3.38%,6.81%,0.00%
MORENA,E20D1,OAXACA,SAN JUAN BAUTISTA TUXTEPEC,55.63%,0.0756,43.20%,70.44%,98.92%
PRD,E20D1,OAXACA,SAN JUAN BAUTISTA TUXTEPEC,28.66%,0.0711,16.97%,42.59%,1.08%
RSP,E20D1,OAXACA,SAN JUAN BAUTISTA TUXTEPEC,5.26%,0.0143,2.91%,8.06%,0.00%
ES,E20D10,OAXACA,MIAHUATLAN DE PORFIRIO DIAZ,2.91%,0.0445,0.00%,11.64%,0.00%
MC,E20D10,OAXACA,MIAHUATLAN DE PORFIRIO DIAZ,5.74%,0.0212,2.25%,9.90%,0.00%
MORENA,E20D10,OAXACA,MIAHUATLAN DE PORFIRIO DIAZ,39.57%,0.0151,37.08%,42.53%,84.76%
PAN,E20D10,OAXACA,MIAHUATLAN DE PORFIRIO DIAZ,32.33%,0.0854,18.28%,49.08%,15.21%
PT,E20D10,OAXACA,MIAHUATLAN DE PORFIRIO DIAZ,5.05%,0.0057,4.11%,6.18%,0.00%
PVEM,E20D10,OAXACA,MIAHUATLAN DE PORFIRIO DIAZ,9.18%,0.0860,0.00%,26.04%,0.02%
RSP,E20D10,OAXACA,MIAHUATLAN DE PORFIRIO DIAZ,2.35%,0.0100,0.69%,4.32%,0.00%
ES,E20D2,OAXACA,TEOTITLAN DE FLORES MAGON,0.16%,0.0430,0.00%,8.59%,0.00%
MC,E20D2,OAXACA,TEOTITLAN DE FLORES MAGON,2.14%,0.0065,1.08%,3.40%,0.00%
MORENA,E20D2,OAXACA,TEOTITLAN DE FLORES MAGON,44.92%,0.0109,43.13%,47.07%,98.56%
PRD,E20D2,OAXACA,TEOTITLAN DE FLORES MAGON,26.88%,0.0846,12.96%,43.46%,1.44%
PT,E20D2,OAXACA,TEOTITLAN DE FLORES MAGON,5.23%,0.0050,4.40%,6.21%,0.00%
PVEM,E20D2,OAXACA,TEOTITLAN DE FLORES MAGON,8.49%,0.0716,0.00%,22.52%,0.00%
RSP,E20D2,OAXACA,TEOTITLAN DE FLORES MAGON,8.00%,0.0122,5.99%,10.39%,0.00%
ES,E20D3,OAXACA,HEROICA CIUDAD DE HUAJUAPAN DE LEON,2.18%,0.0387,0.00%,9.76%,0.00%
MC,E20D3,OAXACA,HEROICA CIUDAD DE HUAJUAPAN DE LEON,3.95%,0.0131,1.79%,6.52%,0.00%
PRI,E20D3,OAXACA,HEROICA CIUDAD DE HUAJUAPAN DE LEON,28.36%,0.0872,14.02%,45.45%,0.53%
PT,E20D3,OAXACA,HEROICA CIUDAD DE HUAJUAPAN DE LEON,60.01%,0.0691,48.64%,73.55%,99.47%
RSP,E20D3,OAXACA,HEROICA CIUDAD DE HUAJUAPAN DE LEON,3.49%,0.0165,0.77%,6.72%,0.00%
ES,E20D4,OAXACA,TLACOLULA DE MATAMOROS,4.17%,0.0419,0.00%,12.38%,0.00%
MC,E20D4,OAXACA,TLACOLULA DE MATAMOROS,2.68%,0.0115,0.79%,4.93%,0.00%
MORENA,E20D4,OAXACA,TLACOLULA DE MATAMOROS,64.18%,0.0663,53.27%,77.17%,99.99%
PAN,E20D4,OAXACA,TLACOLULA DE MATAMOROS,25.52%,0.0760,13.01%,40.42%,0.01%
RSP,E20D4,OAXACA,TLACOLULA DE MATAMOROS,2.64%,0.0130,0.50%,5.19%,0.00%
ES,E20D5,OAXACA,SALINA CRUZ,7.94%,0.0386,1.59%,15.50%,0.00%
MC,E20D5,OAXACA,SALINA CRUZ,4.25%,0.0120,2.28%,6.59%,0.00%
MORENA,E20D5,OAXACA,SALINA CRUZ,58.46%,0.0695,47.03%,72.08%,99.28%
PRI,E20D5,OAXACA,SALINA CRUZ,24.87%,0.1004,8.36%,44.56%,0.72%
RSP,E20D5,OAXACA,SALINA CRUZ,1.82%,0.0133,0.00%,4.42%,0.00%
ES,E20D6,OAXACA,HEROICA CIUDAD DE TLAXIACO,1.57%,0.0349,0.00%,8.41%,0.00%
MC,E20D6,OAXACA,HEROICA CIUDAD DE TLAXIACO,3.66%,0.0231,0.00%,8.20%,0.00%
MORENA,E20D6,OAXACA,HEROICA CIUDAD DE TLAXIACO,46.40%,0.0132,44.23%,48.99%,98.29%
PRD,E20D6,OAXACA,HEROICA CIUDAD DE TLAXIACO,27.81%,0.0890,13.17%,45.26%,1.71%
PT,E20D6,OAXACA,HEROICA CIUDAD DE TLAXIACO,6.44%,0.0072,5.26%,7.85%,0.00%
PVEM,E20D6,OAXACA,HEROICA CIUDAD DE TLAXIACO,7.88%,0.0596,0.00%,19.57%,0.00%
RSP,E20D6,OAXACA,HEROICA CIUDAD DE TLAXIACO,3.78%,0.0263,0.00%,8.93%,0.00%
ES,E20D7,OAXACA,CIUDAD IXTEPEC,3.34%,0.0421,0.00%,11.60%,0.00%
MC,E20D7,OAXACA,CIUDAD IXTEPEC,4.43%,0.0060,3.45%,5.61%,0.00%
MORENA,E20D7,OAXACA,CIUDAD IXTEPEC,40.86%,0.0125,38.81%,43.30%,88.40%
PRI,E20D7,OAXACA,CIUDAD IXTEPEC,30.04%,0.1137,11.33%,52.33%,11.58%
PT,E20D7,OAXACA,CIUDAD IXTEPEC,4.91%,0.0074,3.70%,6.37%,0.00%
PVEM,E20D7,OAXACA,CIUDAD IXTEPEC,9.98%,0.0884,0.00%,27.31%,0.02%
RSP,E20D7,OAXACA,CIUDAD IXTEPEC,5.07%,0.0218,1.49%,9.34%,0.00%
ES,E20D8,OAXACA,OAXACA DE JUAREZ,4.04%,0.0356,0.00%,11.02%,0.00%
MC,E20D8,OAXACA,OAXACA DE JUAREZ,5.33%,0.0136,3.08%,8.00%,0.00%
PRI,E20D8,OAXACA,OAXACA DE JUAREZ,25.76%,0.0669,14.75%,38.87%,0.03%
PT,E20D8,OAXACA,OAXACA DE JUAREZ,57.64%,0.0631,47.26%,70.02%,99.97%
RSP,E20D8,OAXACA,OAXACA DE JUAREZ,2.10%,0.0145,0.00%,4.95%,0.00%
ES,E20D9,OAXACA,PUERTO ESCONDIDO,2.93%,0.0619,0.00%,15.06%,0.00%
MC,E20D9,OAXACA,PUERTO ESCONDIDO,4.33%,0.0086,2.92%,6.01%,0.00%
MORENA,E20D9,OAXACA,PUERTO ESCONDIDO,56.11%,0.0736,44.00%,70.55%,96.54%
PRI,E20D9,OAXACA,PUERTO ESCONDIDO,29.61%,0.0954,13.92%,48.32%,3.46%
RSP,E20D9,OAXACA,PUERTO ESCONDIDO,4.43%,0.0142,2.10%,7.21%,0.00%
ES,E21D1,PUEBLA,HUAUCHINANGO DE DEGOLLADO,2.44%,0.0564,0.00%,13.49%,0.00%
MC,E21D1,PUEBLA,HUAUCHINANGO DE DEGOLLADO,3.26%,0.0134,1.06%,5.88%,0.00%
PRD,E21D1,PUEBLA,HUAUCHINANGO DE DEGOLLADO,51.04%,0.1060,33.61%,71.82%,56.04%
PVEM,E21D1,PUEBLA,HUAUCHINANGO DE DEGOLLADO,44.97%,0.1166,25.80%,67.82%,43.96%
RSP,E21D1,PUEBLA,HUAUCHINANGO DE DEGOLLADO,1.84%,0.0160,0.00%,4.97%,0.00%
ES,E21D10,PUEBLA,CHOLULA DE RIVADAVIA,3.84%,0.0237,0.00%,8.50%,0.00%
MC,E21D10,PUEBLA,CHOLULA DE RIVADAVIA,6.92%,0.0234,3.07%,11.50%,0.00%
MORENA,E21D10,PUEBLA,CHOLULA DE RIVADAVIA,52.93%,0.0380,46.68%,60.38%,99.57%
PAN,E21D10,PUEBLA,CHOLULA DE RIVADAVIA,30.99%,0.0653,20.25%,43.79%,0.43%
RSP,E21D10,PUEBLA,CHOLULA DE RIVADAVIA,4.12%,0.0175,1.24%,7.55%,0.00%
ES,E21D11,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,3.40%,0.0317,0.00%,9.61%,0.00%
MC,E21D11,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,4.07%,0.0098,2.46%,5.99%,0.00%
MORENA,E21D11,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,58.91%,0.0638,48.42%,71.41%,99.98%
PAN,E21D11,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,28.32%,0.0593,18.57%,39.93%,0.02%
RSP,E21D11,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,3.30%,0.0133,1.11%,5.90%,0.00%
ES,E21D12,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,3.60%,0.0344,0.00%,10.33%,0.00%
MC,E21D12,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,4.09%,0.0130,1.95%,6.65%,0.00%
MORENA,E21D12,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,57.79%,0.0658,46.97%,70.68%,99.85%
PAN,E21D12,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,31.49%,0.0560,22.27%,42.47%,0.15%
RSP,E21D12,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,3.52%,0.0153,1.00%,6.52%,0.00%
ES,E21D13,PUEBLA,ATLIXCO,2.72%,0.0556,0.00%,13.61%,0.00%
MC,E21D13,PUEBLA,ATLIXCO,2.45%,0.0212,0.00%,6.61%,0.00%
MORENA,E21D13,PUEBLA,ATLIXCO,49.21%,0.0942,33.71%,67.68%,62.20%
PRD,E21D13,PUEBLA,ATLIXCO,39.01%,0.0919,23.90%,57.02%,37.80%
RSP,E21D13,PUEBLA,ATLIXCO,4.05%,0.0214,0.00%,8.24%,0.00%
ES,E21D14,PUEBLA,ACATLAN DE OSORIO,0.00%,0.0551,0.00%,10.81%,0.00%
MC,E21D14,PUEBLA,ACATLAN DE OSORIO,2.50%,0.0072,1.32%,3.91%,0.00%
PRI,E21D14,PUEBLA,ACATLAN DE OSORIO,38.10%,0.1229,17.88%,62.20%,28.15%
PT,E21D14,PUEBLA,ACATLAN DE OSORIO,55.95%,0.1150,37.03%,78.49%,71.85%
RSP,E21D14,PUEBLA,ACATLAN DE OSORIO,3.08%,0.0168,0.00%,6.37%,0.00%
ES,E21D15,PUEBLA,TEHUACAN,0.49%,0.0410,0.00%,8.52%,0.00%
MC,E21D15,PUEBLA,TEHUACAN,2.14%,0.0107,0.38%,4.24%,0.00%
PRI,E21D15,PUEBLA,TEHUACAN,31.14%,0.0673,20.07%,44.33%,1.66%
PT,E21D15,PUEBLA,TEHUACAN,55.01%,0.0691,43.64%,68.56%,98.34%
RSP,E21D15,PUEBLA,TEHUACAN,3.52%,0.0105,1.79%,5.57%,0.00%
ES,E21D2,PUEBLA,CUAUTILULCO BARRIO,2.07%,0.0522,0.00%,12.30%,0.00%
MC,E21D2,PUEBLA,CUAUTILULCO BARRIO,4.18%,0.0237,0.00%,8.83%,0.00%
PRI,E21D2,PUEBLA,CUAUTILULCO BARRIO,53.93%,0.1110,35.67%,75.69%,66.73%
PVEM,E21D2,PUEBLA,CUAUTILULCO BARRIO,39.65%,0.1178,20.28%,62.73%,33.27%
RSP,E21D2,PUEBLA,CUAUTILULCO BARRIO,3.20%,0.0192,0.00%,6.95%,0.00%
ES,E21D3,PUEBLA,TEZIUTLAN,2.34%,0.0493,0.00%,12.01%,0.00%
MC,E21D3,PUEBLA,TEZIUTLAN,2.75%,0.0194,0.00%,6.56%,0.00%
PRI,E21D3,PUEBLA,TEZIUTLAN,46.80%,0.0968,30.88%,65.76%,49.97%
PT,E21D3,PUEBLA,TEZIUTLAN,46.36%,0.0938,30.94%,64.74%,50.03%
RSP,E21D3,PUEBLA,TEZIUTLAN,2.44%,0.0192,0.00%,6.21%,0.00%
ES,E21D4,PUEBLA,AJALPAN,2.07%,0.0553,0.00%,12.91%,0.00%
MC,E21D4,PUEBLA,AJALPAN,4.00%,0.0197,0.76%,7.85%,0.00%
MORENA,E21D4,PUEBLA,AJALPAN,48.82%,0.0995,32.45%,68.32%,51.25%
PRD,E21D4,PUEBLA,AJALPAN,47.76%,0.1057,30.38%,68.46%,48.75%
RSP,E21D4,PUEBLA,AJALPAN,2.02%,0.0177,0.00%,5.48%,0.00%
ES,E21D5,PUEBLA,SAN MARTIN TEXMELUCAN DE LABASTIDA,2.03%,0.0393,0.00%,9.74%,0.00%
MC,E21D5,PUEBLA,SAN MARTIN TEXMELUCAN DE LABASTIDA,5.55%,0.0151,3.07%,8.50%,0.00%
PRD,E21D5,PUEBLA,SAN MARTIN TEXMELUCAN DE LABASTIDA,33.50%,0.0683,22.27%,46.88%,6.14%
PT,E21D5,PUEBLA,SAN MARTIN TEXMELUCAN DE LABASTIDA,53.15%,0.0700,41.64%,66.87%,93.86%
RSP,E21D5,PUEBLA,SAN MARTIN TEXMELUCAN DE LABASTIDA,3.55%,0.0138,1.27%,6.26%,0.00%
ES,E21D6,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,2.36%,0.0399,0.00%,10.18%,0.00%
MC,E21D6,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,3.67%,0.0110,1.86%,5.82%,0.00%
MORENA,E21D6,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,61.05%,0.0696,49.59%,74.69%,99.95%
PRI,E21D6,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,28.25%,0.0684,17.01%,41.65%,0.05%
RSP,E21D6,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,3.05%,0.0108,1.27%,5.16%,0.00%
ES,E21D7,PUEBLA,TEPEACA,0.91%,0.0458,0.00%,9.89%,0.00%
MC,E21D7,PUEBLA,TEPEACA,1.38%,0.0172,0.00%,4.75%,0.00%
MORENA,E21D7,PUEBLA,TEPEACA,52.36%,0.0849,38.39%,69.01%,71.67%
PAN,E21D7,PUEBLA,TEPEACA,39.16%,0.0800,26.00%,54.84%,28.33%
RSP,E21D7,PUEBLA,TEPEACA,3.16%,0.0171,0.00%,6.51%,0.00%
ES,E21D8,PUEBLA,CIUDAD SERDAN,1.00%,0.0372,0.00%,8.28%,0.00%
MC,E21D8,PUEBLA,CIUDAD SERDAN,5.25%,0.0226,1.54%,9.67%,0.00%
MORENA,E21D8,PUEBLA,CIUDAD SERDAN,42.72%,0.0944,27.20%,61.22%,48.09%
PRI,E21D8,PUEBLA,CIUDAD SERDAN,44.85%,0.0911,29.86%,62.71%,51.91%
RSP,E21D8,PUEBLA,CIUDAD SERDAN,4.51%,0.0173,1.67%,7.90%,0.00%
ES,E21D9,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,2.70%,0.0346,0.00%,9.48%,0.00%
MC,E21D9,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,3.57%,0.0082,2.21%,5.18%,0.00%
PAN,E21D9,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,31.69%,0.0567,22.37%,42.80%,0.11%
PVEM,E21D9,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,56.26%,0.0507,47.92%,66.20%,99.89%
RSP,E21D9,PUEBLA,HEROICA PUEBLA DE ZARAGOZA,3.03%,0.0096,1.46%,4.91%,0.00%
ES,E22D1,QUERÉTARO,CADEREYTA DE MONTES,3.42%,0.0493,0.00%,13.09%,0.00%
MC,E22D1,QUERÉTARO,CADEREYTA DE MONTES,3.88%,0.0224,0.00%,8.28%,0.00%
MORENA,E22D1,QUERÉTARO,CADEREYTA DE MONTES,26.25%,0.0099,24.63%,28.18%,52.97%
PAN,E22D1,QUERÉTARO,CADEREYTA DE MONTES,28.45%,0.0268,24.04%,33.71%,36.29%
PRD,E22D1,QUERÉTARO,CADEREYTA DE MONTES,0.00%,0.0279,0.00%,5.47%,0.00%
PRI,E22D1,QUERÉTARO,CADEREYTA DE MONTES,20.30%,0.1031,3.35%,40.50%,9.02%
PT,E22D1,QUERÉTARO,CADEREYTA DE MONTES,2.54%,0.0047,1.77%,3.45%,0.00%
PVEM,E22D1,QUERÉTARO,CADEREYTA DE MONTES,11.74%,0.0918,0.00%,29.74%,1.71%
RSP,E22D1,QUERÉTARO,CADEREYTA DE MONTES,2.97%,0.0247,0.00%,7.82%,0.00%
ES,E22D2,QUERÉTARO,SAN JUAN DEL RIO,2.78%,0.0469,0.00%,11.98%,0.00%
MC,E22D2,QUERÉTARO,SAN JUAN DEL RIO,2.87%,0.0089,1.41%,4.62%,0.00%
MORENA,E22D2,QUERÉTARO,SAN JUAN DEL RIO,47.19%,0.0798,34.06%,62.83%,97.08%
PAN,E22D2,QUERÉTARO,SAN JUAN DEL RIO,28.26%,0.0335,22.75%,34.84%,1.44%
PRD,E22D2,QUERÉTARO,SAN JUAN DEL RIO,0.00%,0.0087,0.00%,1.70%,0.00%
PRI,E22D2,QUERÉTARO,SAN JUAN DEL RIO,18.21%,0.0922,3.05%,36.27%,1.48%
RSP,E22D2,QUERÉTARO,SAN JUAN DEL RIO,2.79%,0.0130,0.65%,5.34%,0.00%
ES,E22D3,QUERÉTARO,SANTIAGO DE QUERETARO,3.34%,0.0532,0.00%,13.77%,0.00%
MC,E22D3,QUERÉTARO,SANTIAGO DE QUERETARO,3.46%,0.0087,2.03%,5.15%,0.00%
MORENA,E22D3,QUERÉTARO,SANTIAGO DE QUERETARO,44.53%,0.0788,31.56%,59.98%,72.67%
PAN,E22D3,QUERÉTARO,SANTIAGO DE QUERETARO,31.76%,0.0546,22.77%,42.46%,24.35%
PRD,E22D3,QUERÉTARO,SANTIAGO DE QUERETARO,0.00%,0.0102,0.00%,2.01%,0.00%
PRI,E22D3,QUERÉTARO,SANTIAGO DE QUERETARO,17.75%,0.1024,0.00%,37.82%,2.97%
RSP,E22D3,QUERÉTARO,SANTIAGO DE QUERETARO,1.67%,0.0106,0.00%,3.75%,0.00%
ES,E22D4,QUERÉTARO,SANTIAGO DE QUERETARO,3.09%,0.0491,0.00%,12.70%,0.00%
MC,E22D4,QUERÉTARO,SANTIAGO DE QUERETARO,3.36%,0.0084,1.98%,5.01%,0.00%
MORENA,E22D4,QUERÉTARO,SANTIAGO DE QUERETARO,32.50%,0.0057,31.56%,33.61%,61.98%
PAN,E22D4,QUERÉTARO,SANTIAGO DE QUERETARO,34.71%,0.0528,26.04%,45.05%,35.33%
PRD,E22D4,QUERÉTARO,SANTIAGO DE QUERETARO,0.00%,0.0106,0.00%,2.07%,0.00%
PRI,E22D4,QUERÉTARO,SANTIAGO DE QUERETARO,16.31%,0.1076,0.00%,37.40%,2.60%
PT,E22D4,QUERÉTARO,SANTIAGO DE QUERETARO,1.79%,0.0027,1.34%,2.32%,0.00%
PVEM,E22D4,QUERÉTARO,SANTIAGO DE QUERETARO,8.99%,0.0845,0.00%,25.56%,0.10%
RSP,E22D4,QUERÉTARO,SANTIAGO DE QUERETARO,1.54%,0.0098,0.00%,3.47%,0.00%
ES,E22D5,QUERÉTARO,EL PUEBLITO,3.43%,0.0527,0.00%,13.76%,0.00%
MC,E22D5,QUERÉTARO,EL PUEBLITO,3.18%,0.0074,1.96%,4.64%,0.00%
MORENA,E22D5,QUERÉTARO,EL PUEBLITO,23.27%,0.0064,22.21%,24.53%,0.03%
PAN,E22D5,QUERÉTARO,EL PUEBLITO,34.11%,0.0542,25.20%,44.72%,82.92%
PRD,E22D5,QUERÉTARO,EL PUEBLITO,0.00%,0.0126,0.00%,2.47%,0.00%
PRI,E22D5,QUERÉTARO,EL PUEBLITO,19.46%,0.1169,0.00%,42.36%,14.57%
PT,E22D5,QUERÉTARO,EL PUEBLITO,3.55%,0.0034,2.99%,4.22%,0.00%
PVEM,E22D5,QUERÉTARO,EL PUEBLITO,11.75%,0.0928,0.00%,29.94%,2.47%
RSP,E22D5,QUERÉTARO,EL PUEBLITO,1.73%,0.0174,0.00%,5.14%,0.00%
ES,E23D1,QUINTANA ROO,PLAYA DEL CARMEN,3.83%,0.0511,0.00%,13.85%,0.00%
MC,E23D1,QUINTANA ROO,PLAYA DEL CARMEN,3.66%,0.0072,2.47%,5.08%,0.00%
PAN,E23D1,QUINTANA ROO,PLAYA DEL CARMEN,32.31%,0.0914,17.28%,50.22%,9.23%
PVEM,E23D1,QUINTANA ROO,PLAYA DEL CARMEN,57.01%,0.0983,40.83%,76.29%,90.77%
RSP,E23D1,QUINTANA ROO,PLAYA DEL CARMEN,2.35%,0.0142,0.00%,5.12%,0.00%
ES,E23D2,QUINTANA ROO,CHETUMAL,4.53%,0.0421,0.00%,12.78%,0.00%
MC,E23D2,QUINTANA ROO,CHETUMAL,4.00%,0.0093,2.47%,5.83%,0.00%
MORENA,E23D2,QUINTANA ROO,CHETUMAL,56.96%,0.0782,44.10%,72.28%,98.39%
PRI,E23D2,QUINTANA ROO,CHETUMAL,29.72%,0.0768,17.08%,44.77%,1.61%
RSP,E23D2,QUINTANA ROO,CHETUMAL,3.79%,0.0166,1.05%,7.05%,0.00%
ES,E23D3,QUINTANA ROO,CANCUN,3.94%,0.0227,0.00%,8.40%,0.00%
MC,E23D3,QUINTANA ROO,CANCUN,6.73%,0.0137,4.48%,9.41%,0.00%
MORENA,E23D3,QUINTANA ROO,CANCUN,67.73%,0.0336,62.19%,74.32%,100.00%
PRD,E23D3,QUINTANA ROO,CANCUN,10.47%,0.0318,5.24%,16.70%,0.00%
RSP,E23D3,QUINTANA ROO,CANCUN,5.75%,0.0254,1.57%,10.74%,0.00%
ES,E23D4,QUINTANA ROO,CANCUN,4.12%,0.0296,0.00%,9.93%,0.00%
MC,E23D4,QUINTANA ROO,CANCUN,5.50%,0.0162,2.84%,8.67%,0.00%
PRD,E23D4,QUINTANA ROO,CANCUN,19.60%,0.0378,13.38%,27.02%,0.00%
PVEM,E23D4,QUINTANA ROO,CANCUN,63.90%,0.0361,57.96%,70.97%,100.00%
RSP,E23D4,QUINTANA ROO,CANCUN,5.22%,0.0241,1.25%,9.95%,0.00%
ES,E24D1,SAN LUIS POTOSÍ,MATEHUALA,3.02%,0.0457,0.00%,11.96%,0.00%
MC,E24D1,SAN LUIS POTOSÍ,MATEHUALA,5.69%,0.0156,3.12%,8.75%,0.00%
PRI,E24D1,SAN LUIS POTOSÍ,MATEHUALA,44.48%,0.0768,31.85%,59.53%,53.37%
PVEM,E24D1,SAN LUIS POTOSÍ,MATEHUALA,41.49%,0.0800,28.33%,57.17%,46.63%
RSP,E24D1,SAN LUIS POTOSÍ,MATEHUALA,3.53%,0.0181,0.00%,7.07%,0.00%
ES,E24D2,SAN LUIS POTOSÍ,SOLEDAD DE GRACIANO SANCHEZ,1.19%,0.0327,0.00%,7.60%,0.00%
MC,E24D2,SAN LUIS POTOSÍ,SOLEDAD DE GRACIANO SANCHEZ,7.37%,0.0466,0.00%,16.50%,0.00%
MORENA,E24D2,SAN LUIS POTOSÍ,SOLEDAD DE GRACIANO SANCHEZ,27.05%,0.0404,20.41%,34.96%,20.60%
PRD,E24D2,SAN LUIS POTOSÍ,SOLEDAD DE GRACIANO SANCHEZ,39.58%,0.0694,28.16%,53.20%,79.40%
PT,E24D2,SAN LUIS POTOSÍ,SOLEDAD DE GRACIANO SANCHEZ,4.57%,0.0090,3.08%,6.33%,0.00%
PVEM,E24D2,SAN LUIS POTOSÍ,SOLEDAD DE GRACIANO SANCHEZ,8.78%,0.0493,0.00%,18.44%,0.00%
RSP,E24D2,SAN LUIS POTOSÍ,SOLEDAD DE GRACIANO SANCHEZ,7.40%,0.0479,0.00%,16.80%,0.00%
ES,E24D3,SAN LUIS POTOSÍ,RIOVERDE,2.82%,0.0570,0.00%,13.99%,0.00%
MC,E24D3,SAN LUIS POTOSÍ,RIOVERDE,3.11%,0.0147,0.68%,6.00%,0.00%
PRI,E24D3,SAN LUIS POTOSÍ,RIOVERDE,52.09%,0.1049,34.83%,72.65%,67.56%
PVEM,E24D3,SAN LUIS POTOSÍ,RIOVERDE,37.96%,0.1056,20.59%,58.66%,32.44%
RSP,E24D3,SAN LUIS POTOSÍ,RIOVERDE,3.24%,0.0164,0.54%,6.46%,0.00%
ES,E24D4,SAN LUIS POTOSÍ,CIUDAD VALLES,2.25%,0.0424,0.00%,10.56%,0.00%
MC,E24D4,SAN LUIS POTOSÍ,CIUDAD VALLES,5.96%,0.0172,3.14%,9.32%,0.00%
MORENA,E24D4,SAN LUIS POTOSÍ,CIUDAD VALLES,47.12%,0.0796,34.03%,62.72%,58.75%
PRD,E24D4,SAN LUIS POTOSÍ,CIUDAD VALLES,40.42%,0.0813,27.04%,56.36%,41.25%
RSP,E24D4,SAN LUIS POTOSÍ,CIUDAD VALLES,4.50%,0.0110,2.69%,6.64%,0.00%
ES,E24D5,SAN LUIS POTOSÍ,SAN LUIS POTOSI,2.09%,0.0367,0.00%,9.28%,0.00%
MC,E24D5,SAN LUIS POTOSÍ,SAN LUIS POTOSI,5.71%,0.0151,3.24%,8.66%,0.00%
PAN,E24D5,SAN LUIS POTOSÍ,SAN LUIS POTOSI,49.11%,0.0733,37.06%,63.47%,61.35%
PVEM,E24D5,SAN LUIS POTOSÍ,SAN LUIS POTOSI,40.94%,0.0620,30.75%,53.09%,38.65%
RSP,E24D5,SAN LUIS POTOSÍ,SAN LUIS POTOSI,4.17%,0.0177,1.26%,7.65%,0.00%
ES,E24D6,SAN LUIS POTOSÍ,SAN LUIS POTOSI,2.35%,0.0247,0.00%,7.19%,0.00%
MC,E24D6,SAN LUIS POTOSÍ,SAN LUIS POTOSI,6.39%,0.0178,3.47%,9.88%,0.00%
PAN,E24D6,SAN LUIS POTOSÍ,SAN LUIS POTOSI,38.32%,0.0429,31.26%,46.73%,26.29%
PVEM,E24D6,SAN LUIS POTOSÍ,SAN LUIS POTOSI,43.88%,0.0338,38.32%,50.51%,73.71%
RSP,E24D6,SAN LUIS POTOSÍ,SAN LUIS POTOSI,5.31%,0.0199,2.04%,9.20%,0.00%
ES,E24D7,SAN LUIS POTOSÍ,TAMAZUNCHALE,1.30%,0.0469,0.00%,10.49%,0.00%
MC,E24D7,SAN LUIS POTOSÍ,TAMAZUNCHALE,3.96%,0.0090,2.48%,5.71%,0.00%
PAN,E24D7,SAN LUIS POTOSÍ,TAMAZUNCHALE,48.73%,0.0754,36.32%,63.51%,74.13%
PVEM,E24D7,SAN LUIS POTOSÍ,TAMAZUNCHALE,36.16%,0.0744,23.92%,50.75%,25.87%
RSP,E24D7,SAN LUIS POTOSÍ,TAMAZUNCHALE,4.28%,0.0127,2.19%,6.77%,0.00%
ES,E25D1,SINALOA,MAZATLAN,2.12%,0.0721,0.00%,16.26%,0.00%
MC,E25D1,SINALOA,MAZATLAN,3.13%,0.0145,0.75%,5.97%,0.00%
PAN,E25D1,SINALOA,MAZATLAN,46.90%,0.1254,26.27%,71.48%,43.35%
